"UserId","verb_id","verb","feature_raw"
"16ada7e49b7-ce39-67ff-7fe-9052",14,"spoeden","bewegen"
"16ada7e49b7-ce39-67ff-7fe-9052",14,"spoeden","vaart"
"16ada7e49b7-ce39-67ff-7fe-9052",14,"spoeden","tijd"
"16ada7e49b7-ce39-67ff-7fe-9052",9,"lopen","bewegen"
"16ada7e49b7-ce39-67ff-7fe-9052",9,"lopen","voeten"
"16ada7e49b7-ce39-67ff-7fe-9052",9,"lopen","normaal"
"16ada7e49b7-ce39-67ff-7fe-9052",9,"lopen","benen"
"16ada7e49b7-ce39-67ff-7fe-9052",9,"lopen","wandel"
"16ada7e49b7-ce39-67ff-7fe-9052",7,"klimmen","omhoog"
"16ada7e49b7-ce39-67ff-7fe-9052",7,"klimmen","bewegen"
"16ada7e49b7-ce39-67ff-7fe-9052",7,"klimmen","armen"
"16ada7e49b7-ce39-67ff-7fe-9052",7,"klimmen","handen"
"16ada7e49b7-ce39-67ff-7fe-9052",7,"klimmen","hoogteverschil"
"16ada7e49b7-ce39-67ff-7fe-9052",7,"klimmen","laag"
"16ada7e49b7-ce39-67ff-7fe-9052",7,"klimmen","hoog"
"16ada7e49b7-ce39-67ff-7fe-9052",7,"klimmen","stijgen"
"16adaa7f569-5a1d-6e47-32ef-29d",15,"walsen","dansen"
"16adaa7f569-5a1d-6e47-32ef-29d",15,"walsen","langzaam"
"16adaa7f569-5a1d-6e47-32ef-29d",15,"walsen","romantisch"
"16adaa7f569-5a1d-6e47-32ef-29d",15,"walsen","tweetal"
"16adaa7f569-5a1d-6e47-32ef-29d",15,"walsen","dichtbij"
"16adaa7f569-5a1d-6e47-32ef-29d",19,"knippen","papier"
"16adaa7f569-5a1d-6e47-32ef-29d",19,"knippen","schaar"
"16adaa7f569-5a1d-6e47-32ef-29d",19,"knippen","meer delen maken"
"16adaa7f569-5a1d-6e47-32ef-29d",19,"knippen","steen, schaar"
"16adaa7f569-5a1d-6e47-32ef-29d",19,"knippen","knutselen"
"16adaa7f569-5a1d-6e47-32ef-29d",10,"marcheren","wandelen"
"16adaa7f569-5a1d-6e47-32ef-29d",10,"marcheren","leger"
"16adaa7f569-5a1d-6e47-32ef-29d",10,"marcheren","snel"
"16adaa7f569-5a1d-6e47-32ef-29d",10,"marcheren","ritme"
"16adaa7f569-5a1d-6e47-32ef-29d",10,"marcheren","militair"
"16adaa7f569-5a1d-6e47-32ef-29d",13,"sluipen","zachtjes"
"16adaa7f569-5a1d-6e47-32ef-29d",13,"sluipen","stiekem"
"16adaa7f569-5a1d-6e47-32ef-29d",13,"sluipen","dief"
"16adaa7f569-5a1d-6e47-32ef-29d",13,"sluipen","onopvallend"
"16adaa7f569-5a1d-6e47-32ef-29d",13,"sluipen","voorzichtig"
"16adaa7f569-5a1d-6e47-32ef-29d",14,"spoeden","druk"
"16adaa7f569-5a1d-6e47-32ef-29d",14,"spoeden","snel"
"16adaa7f569-5a1d-6e47-32ef-29d",14,"spoeden","haast"
"16adaa7f569-5a1d-6e47-32ef-29d",14,"spoeden","stress"
"16adaa7f569-5a1d-6e47-32ef-29d",14,"spoeden","-"
"16adaa7f569-5a1d-6e47-32ef-29d",2,"banjeren","-"
"16adaa7f569-5a1d-6e47-32ef-29d",2,"banjeren","-"
"16adaa7f569-5a1d-6e47-32ef-29d",2,"banjeren","-"
"16adaa7f569-5a1d-6e47-32ef-29d",2,"banjeren","-"
"16adaa7f569-5a1d-6e47-32ef-29d",2,"banjeren","--"
"16adaa7f569-5a1d-6e47-32ef-29d",12,"slingeren","vlaggetjes"
"16adaa7f569-5a1d-6e47-32ef-29d",12,"slingeren","hoog"
"16adaa7f569-5a1d-6e47-32ef-29d",12,"slingeren","ophangen"
"16adaa7f569-5a1d-6e47-32ef-29d",12,"slingeren","feestgelegenheid"
"16adaa7f569-5a1d-6e47-32ef-29d",12,"slingeren","jarig"
"16adaa7f569-5a1d-6e47-32ef-29d",5,"haasten","snel"
"16adaa7f569-5a1d-6e47-32ef-29d",5,"haasten","geen tijd"
"16adaa7f569-5a1d-6e47-32ef-29d",5,"haasten","te laat"
"16adaa7f569-5a1d-6e47-32ef-29d",5,"haasten","-"
"16adaa7f569-5a1d-6e47-32ef-29d",5,"haasten","-"
"16adaa7f569-5a1d-6e47-32ef-29d",11,"schuifelen","dansen"
"16adaa7f569-5a1d-6e47-32ef-29d",11,"schuifelen","dichtbij"
"16adaa7f569-5a1d-6e47-32ef-29d",11,"schuifelen","twee personen"
"16adaa7f569-5a1d-6e47-32ef-29d",11,"schuifelen","langzaam"
"16adaa7f569-5a1d-6e47-32ef-29d",11,"schuifelen","muziek"
"16adaa7f569-5a1d-6e47-32ef-29d",1,"afdalen","zakken"
"16adaa7f569-5a1d-6e47-32ef-29d",1,"afdalen","bergen"
"16adaa7f569-5a1d-6e47-32ef-29d",1,"afdalen","beneden"
"16adaa7f569-5a1d-6e47-32ef-29d",1,"afdalen","afleiding"
"16adaa7f569-5a1d-6e47-32ef-29d",1,"afdalen","slechter gaan"
"16adaa7f569-5a1d-6e47-32ef-29d",16,"wijken","vorm veranderen"
"16adaa7f569-5a1d-6e47-32ef-29d",16,"wijken","kracht"
"16adaa7f569-5a1d-6e47-32ef-29d",16,"wijken","sterk"
"16adaa7f569-5a1d-6e47-32ef-29d",16,"wijken","flexibel"
"16adaa7f569-5a1d-6e47-32ef-29d",16,"wijken","warmte"
"16adaa7f569-5a1d-6e47-32ef-29d",21,"slaaten","ik weet niet wat dit betekend"
"16adaa7f569-5a1d-6e47-32ef-29d",21,"slaaten","wat is slaaten?"
"16adaa7f569-5a1d-6e47-32ef-29d",21,"slaaten","ik weet niet of ik dit mag opzoeken?"
"16adaa7f569-5a1d-6e47-32ef-29d",21,"slaaten","ik moet 5 vakjes vullen"
"16adaa7f569-5a1d-6e47-32ef-29d",21,"slaaten","sorry voor dit antwoord"
"16adaa7f569-5a1d-6e47-32ef-29d",8,"kuieren","relax"
"16adaa7f569-5a1d-6e47-32ef-29d",8,"kuieren","geen stress"
"16adaa7f569-5a1d-6e47-32ef-29d",8,"kuieren","rustig"
"16adaa7f569-5a1d-6e47-32ef-29d",8,"kuieren","genieten"
"16adaa7f569-5a1d-6e47-32ef-29d",8,"kuieren","op het gemak"
"16adaa7f569-5a1d-6e47-32ef-29d",20,"kloppen","op de deur"
"16adaa7f569-5a1d-6e47-32ef-29d",20,"kloppen","ook in de keuken"
"16adaa7f569-5a1d-6e47-32ef-29d",20,"kloppen","opendoen"
"16adaa7f569-5a1d-6e47-32ef-29d",20,"kloppen","correct"
"16adaa7f569-5a1d-6e47-32ef-29d",20,"kloppen","meerdere zijn juist"
"16adaa7f569-5a1d-6e47-32ef-29d",7,"klimmen","hoogte"
"16adaa7f569-5a1d-6e47-32ef-29d",7,"klimmen","bergen"
"16adaa7f569-5a1d-6e47-32ef-29d",7,"klimmen","vast aan touwen"
"16adaa7f569-5a1d-6e47-32ef-29d",7,"klimmen","sport"
"16adaa7f569-5a1d-6e47-32ef-29d",7,"klimmen","boom"
"16adaa7f569-5a1d-6e47-32ef-29d",3,"dolen","?"
"16adaa7f569-5a1d-6e47-32ef-29d",3,"dolen","?"
"16adaa7f569-5a1d-6e47-32ef-29d",3,"dolen","?"
"16adaa7f569-5a1d-6e47-32ef-29d",3,"dolen","?"
"16adaa7f569-5a1d-6e47-32ef-29d",3,"dolen","?"
"16adaa7f569-5a1d-6e47-32ef-29d",17,"snijden","keuken"
"16adaa7f569-5a1d-6e47-32ef-29d",17,"snijden","mes"
"16adaa7f569-5a1d-6e47-32ef-29d",17,"snijden","voorzichtig"
"16adaa7f569-5a1d-6e47-32ef-29d",17,"snijden","scherp en bot"
"16adaa7f569-5a1d-6e47-32ef-29d",17,"snijden","voedsel"
"16adaa7f569-5a1d-6e47-32ef-29d",18,"hakken","boom"
"16adaa7f569-5a1d-6e47-32ef-29d",18,"hakken","hout"
"16adaa7f569-5a1d-6e47-32ef-29d",18,"hakken","manier van dansen"
"16adaa7f569-5a1d-6e47-32ef-29d",18,"hakken","houthakker"
"16adaa7f569-5a1d-6e47-32ef-29d",18,"hakken","zwaar"
"16adaa7f569-5a1d-6e47-32ef-29d",6,"hardlopen","kilometers"
"16adaa7f569-5a1d-6e47-32ef-29d",6,"hardlopen","rennen"
"16adaa7f569-5a1d-6e47-32ef-29d",6,"hardlopen","sporten"
"16adaa7f569-5a1d-6e47-32ef-29d",6,"hardlopen","loopband"
"16adaa7f569-5a1d-6e47-32ef-29d",6,"hardlopen","buiten"
"16adaa7f569-5a1d-6e47-32ef-29d",6,"hardlopen","schoenen"
"16adaa7f569-5a1d-6e47-32ef-29d",9,"lopen","wandelen"
"16adaa7f569-5a1d-6e47-32ef-29d",9,"lopen","naar bestemming gaan"
"16adaa7f569-5a1d-6e47-32ef-29d",9,"lopen","twee benen"
"16adaa7f569-5a1d-6e47-32ef-29d",9,"lopen","5 km per uur"
"16adaa7f569-5a1d-6e47-32ef-29d",9,"lopen","ontspanning"
